"variable","value","procs"
"computeTime",0.032207,32
"computeTime",0.032521,32
"computeTime",0.032829,32
"computeTime",0.033116,32
"computeTime",0.033415,32
"computeTime",0.033709,32
"computeTime",0.033997,32
"computeTime",0.034305,32
"computeTime",0.026653,32
"computeTime",0.957581,64
"computeTime",0.957795,64
"computeTime",0.958003,64
"computeTime",0.958238,64
"computeTime",0.958453,64
"computeTime",0.958671,64
"computeTime",0.958897,64
"computeTime",0.959128,64
"computeTime",0.95934,64
"computeTime",0.95953,64
"computeTime",0.959735,64
"computeTime",0.959949,64
"computeTime",0.960153,64
"computeTime",0.96036,64
"computeTime",0.960575,64
"computeTime",0.960815,64
"computeTime",0.961033,64
"computeTime",0.961247,64
"computeTime",0.961458,64
"computeTime",0.961694,64
"computeTime",0.961903,64
"computeTime",0.962125,64
"computeTime",0.962343,64
"computeTime",0.962579,64
"computeTime",0.962807,64
"computeTime",0.963022,64
"computeTime",0.963228,64
"computeTime",0.963447,64
"computeTime",0.963657,64
"computeTime",0.963894,64
"computeTime",0.964102,64
"computeTime",0.964318,64
"computeTime",0.964513,64
"computeTime",0.964723,64
"computeTime",0.964939,64
"computeTime",0.965195,64
"computeTime",0.965411,64
"computeTime",0.965626,64
"computeTime",0.965843,64
"computeTime",0.966077,64
"computeTime",0.966302,64
"computeTime",0.966501,64
"computeTime",0.966701,64
"computeTime",0.96691,64
"computeTime",0.967115,64
"computeTime",0.96732,64
"computeTime",0.967524,64
"computeTime",0.967755,64
"computeTime",0.968042,64
"computeTime",0.968323,64
"computeTime",0.968601,64
"computeTime",0.968907,64
"computeTime",0.969183,64
"computeTime",0.969458,64
"computeTime",0.969759,64
"computeTime",0.970054,64
"computeTime",0.970335,64
"computeTime",0.970602,64
"computeTime",0.970873,64
"computeTime",0.971173,64
"computeTime",0.971458,64
"computeTime",0.971744,64
"computeTime",0.972025,64
"computeTime",0.968831,64
"computeTime",0.959899,64
"computeTime",0.960108,64
"computeTime",0.960317,64
"computeTime",0.960553,64
"computeTime",0.960767,64
"computeTime",0.96099,64
"computeTime",0.961209,64
"computeTime",0.961455,64
"computeTime",0.961669,64
"computeTime",0.961861,64
"computeTime",0.962063,64
"computeTime",0.96229,64
"computeTime",0.962506,64
"computeTime",0.962717,64
"computeTime",0.96293,64
"computeTime",0.96316,64
"computeTime",0.963381,64
"computeTime",0.963604,64
"computeTime",0.963834,64
"computeTime",0.96407,64
"computeTime",0.964293,64
"computeTime",0.964513,64
"computeTime",0.96473,64
"computeTime",0.96497,64
"computeTime",0.965197,64
"computeTime",0.965397,64
"computeTime",0.965604,64
"computeTime",0.965819,64
"computeTime",0.966024,64
"computeTime",0.966241,64
"computeTime",0.966447,64
"computeTime",0.966677,64
"computeTime",0.966877,64
"computeTime",0.9671,64
"computeTime",0.967313,64
"computeTime",0.967548,64
"computeTime",0.967762,64
"computeTime",0.967974,64
"computeTime",0.968186,64
"computeTime",0.968442,64
